clip,ref_words,errors,sub,dele,ins,wer_pct,duration_s,words_per_s,latency_s,engine,reference,hypothesis,edit_ops
001,17,0,0,0,0,0.0,8.36,2.03,4.99,phowhisper:PhoWhisper-large,Thủ tục thành lập công ty trách nhiệm hữu hạn một thành viên gồm những bước nào?,thủ tục thành lập công ty trách nhiệm hữu hạn một thành viên gồm những bước nào.,
002,14,0,0,0,0,0.0,6.33,2.21,3.89,phowhisper:PhoWhisper-large,Vốn điều lệ tối thiểu để mở doanh nghiệp tư nhân là bao nhiêu?,vốn điều lệ tối thiểu để mở doanh nghiệp tư nhân là bao nhiêu.,
003,17,0,0,0,0,0.0,6.88,2.47,3.9,phowhisper:PhoWhisper-large,Giám đốc công ty cổ phần có được đồng thời làm giám đốc doanh nghiệp khác không?,giám đốc công ty cổ phần có được đồng thời làm giám đốc doanh nghiệp khác không.,
004,19,0,0,0,0,0.0,7.18,2.65,3.71,phowhisper:PhoWhisper-large,Hồ sơ đăng ký kinh doanh nộp ở cơ quan nào và mất bao lâu để được cấp phép?,hồ sơ đăng ký kinh doanh nộp ở cơ quan nào và mất bao lâu để được cấp phép.,
005,14,0,0,0,0,0.0,5.1,2.75,3.62,phowhisper:PhoWhisper-large,Công ty cổ phần phải có tối thiểu bao nhiêu cổ đông sáng lập?,công ty cổ phần phải có tối thiểu bao nhiêu cổ đông sáng lập.,
006,17,0,0,0,0,0.0,7.43,2.29,4.37,phowhisper:PhoWhisper-large,Khi thay đổi người đại diện theo pháp luật thì doanh nghiệp cần làm thủ tục gì?,khi thay đổi người đại diện theo pháp luật thì doanh nghiệp cần làm thủ tục gì.,
007,16,0,0,0,0,0.0,5.84,2.74,3.32,phowhisper:PhoWhisper-large,Doanh nghiệp có bắt buộc phải có con dấu tròn theo quy định hiện hành không?,doanh nghiệp có bắt buộc phải có con dấu tròn theo quy định hiện hành không.,
008,20,0,0,0,0,0.0,7.75,2.58,3.87,phowhisper:PhoWhisper-large,Thời hạn góp vốn điều lệ sau khi được cấp giấy chứng nhận đăng ký doanh nghiệp là bao lâu?,thời hạn góp vốn điều lệ sau khi được cấp giấy chứng nhận đăng ký doanh nghiệp là bao lâu.,
009,13,0,0,0,0,0.0,4.94,2.63,3.1,phowhisper:PhoWhisper-large,Chi nhánh và văn phòng đại diện khác nhau ở những điểm nào?,chi nhánh và văn phòng đại diện khác nhau ở những điểm nào.,
010,12,1,1,0,0,8.3,4.77,2.52,2.97,phowhisper:PhoWhisper-large,Thủ tục giải thể doanh nghiệp gồm những bước bắt buộc nào?,thủ tục giả thể doanh nghiệp gồm những bước bắt buộc nào.,SUB giải->giả
011,19,0,0,0,0,0.0,8.27,2.3,3.99,phowhisper:PhoWhisper-large,Công ty trách nhiệm hữu hạn hai thành viên trở lên được có tối đa bao nhiêu thành viên?,công ty trách nhiệm hữu hạn hai thành viên trở lên được có tối đa bao nhiêu thành viên.,
012,15,0,0,0,0,0.0,7.07,2.12,3.84,phowhisper:PhoWhisper-large,Cổ đông phổ thông có những quyền cơ bản nào trong công ty cổ phần?,cổ đông phổ thông có những quyền cơ bản nào trong công ty cổ phần.,
013,15,1,0,1,0,6.7,5.33,2.63,4.08,phowhisper:PhoWhisper-large,Doanh nghiệp chậm nộp báo cáo tài chính thì bị xử phạt như thế nào?,doanh nghiệp chậm nộp báo cáo tài chính thì bị xử phạt thế nào.,DEL như
014,14,1,1,0,0,7.1,5.53,2.53,3.1,phowhisper:PhoWhisper-large,Điều kiện để chuyển đổi từ hộ kinh doanh lên doanh nghiệp là gì?,điều kiện để chuyển đổi từ họ kinh doanh lên doanh nghiệp là gì.,SUB hộ->họ
015,13,0,0,0,0,0.0,4.49,2.9,3.07,phowhisper:PhoWhisper-large,Hợp đồng thử việc được phép kéo dài tối đa bao nhiêu ngày?,hợp đồng thử việc được phép kéo dài tối đa bao nhiêu ngày.,
016,15,0,0,0,0,0.0,5.21,2.88,4.28,phowhisper:PhoWhisper-large,Người lao động khi nghỉ việc cần báo trước bao nhiêu ngày theo quy định?,người lao động khi nghỉ việc cần báo trước bao nhiêu ngày theo quy định.,
017,16,0,0,0,0,0.0,6.36,2.52,3.84,phowhisper:PhoWhisper-large,Công ty có được sa thải nhân viên đang trong thời gian nghỉ thai sản không?,công ty có được sa thải nhân viên đang trong thời gian nghỉ thai sản không.,
018,18,0,0,0,0,0.0,6.12,2.94,3.44,phowhisper:PhoWhisper-large,Mức đóng bảo hiểm xã hội bắt buộc của doanh nghiệp hiện nay là bao nhiêu phần trăm?,mức đóng bảo hiểm xã hội bắt buộc của doanh nghiệp hiện nay là bao nhiêu phần trăm.,
019,19,1,0,0,1,5.3,7.06,2.83,4.72,phowhisper:PhoWhisper-large,Nhà đầu tư nước ngoài muốn mở công ty tại Việt Nam cần đáp ứng những điều kiện gì?,nhà đầu tư nước ngoài muốn được mở công ty tại việt nam cần đáp ứng những điều kiện gì.,INS được
020,13,0,0,0,0,0.0,4.73,2.75,3.58,phowhisper:PhoWhisper-large,Thủ tục đăng ký nhãn hiệu cho sản phẩm thường mất bao lâu?,thủ tục đăng ký nhãn hiệu cho sản phẩm thường mất bao lâu.,
021,16,0,0,0,0,0.0,5.78,2.77,3.42,phowhisper:PhoWhisper-large,Những hành vi nào bị coi là cạnh tranh không lành mạnh theo luật hiện hành?,những hành vi nào bị coi là cạnh tranh không lành mạnh theo luật hiện hành.,
022,14,1,0,0,1,7.1,5.61,2.67,3.37,phowhisper:PhoWhisper-large,Doanh nghiệp phải lưu trữ sổ sách kế toán trong thời gian bao lâu?,doanh nghiệp nào phải lưu trữ sổ sách kế toán trong thời gian bao lâu.,INS nào
023,14,1,0,0,1,7.1,6.25,2.4,3.38,phowhisper:PhoWhisper-large,"Khi tăng vốn điều lệ, công ty cần thông báo với cơ quan nào?",khi tăng vốn điều lệ công ty cần thông báo với các cơ quan nào.,INS các
024,15,0,0,0,0,0.0,5.6,2.68,3.56,phowhisper:PhoWhisper-large,Thành viên góp vốn không đúng hạn cam kết thì được xử lý ra sao?,thành viên góp vốn không đúng hạn cam kết thì được xử lý ra sao.,
025,15,0,0,0,0,0.0,5.79,2.59,3.85,phowhisper:PhoWhisper-large,Công ty cổ phần có bắt buộc phải thành lập ban kiểm soát hay không?,công ty cổ phần có bắt buộc phải thành lập ban kiểm soát hay không.,
